"cast_members","appearance_count"
" Rikiya Koyama","10"
" Hiroki Yasumoto","10"
"Elyse Maloway","10"
" Terry Crews","10"
" John Carroll Lynch","10"
" Brijendra Kala","10"
" Keith Wickham","10"
"Will Smith","10"
" Sardar Sohi","10"
" Don Cheadle","10"
" Sachin Khedekar","10"
" Jeff Bennett","10"
" Neha Dhupia","10"
" Jason Isaacs","10"
" Jason Schwartzman","10"
" Segun Arinze","10"
" Ali Nuhu","10"
" Kalki Koechlin","10"
" Shraddha Kapoor","10"
" Arjun Rampal","10"
" Johnny Lever","10"
"Harrison Ford","10"
" Mukesh Tiwari","10"
" Grey DeLisle","10"
" James Cromwell","10"
" James Marsden","10"
" Anthony Anderson","10"
" Amrita Rao","10"
" Shannon Chan-Kent","10"
" Judy Greer","10"
" Lena Headey","10"
" Sathyaraj","10"
" Saif Ali Khan","10"
" Mohammed Tharwat","10"
" Jon Lovitz","10"
" John C. Reilly","10"
"Jack Black","10"
" Karamjit Anmol","10"
" Manoj Pahwa","10"
" Rebecca Shoichet","10"
" Rie Kugimiya","10"
" Jane Lynch","10"
" Toshiyuki Morikawa","10"
" Helena Bonham Carter","10"
" Zoe Saldana","10"
" Paul Schrier","10"
" Alan Cumming","10"
" Joke Silva","9"
" James Hong","9"
" Colm Feore","9"
" Lake Bell","9"
" Farida Jalal","9"
" Sheeba Chaddha","9"
" Natsuki Hanae","9"
" Mike Vogel","9"
" Pedro Casablanc","9"
" Cate Blanchett","9"
" Megumi Han","9"
" Luis Guzmán","9"
" Gary Oldman","9"
"Kappei Yamaguchi","9"
" Vivica A. Fox","9"
" Cedric the Entertainer","9"
" Lotfy Labib","9"
" Satsuki Yukino","9"
" Reema Lagoo","9"
" Sam Neill","9"
" Parker Posey","9"
" Sean Bean","9"
" Bruce McGill","9"
" Mahershala Ali","9"
" T.J. Miller","9"
" Scoot McNairy","9"
" Catherine O'Hara","9"
" Adam Pally","9"
" Christopher Meloni","9"
" Dustin Hoffman","9"
" Maaya Sakamoto","9"
" Jim Cummings","9"
" Rob Schneider","9"
" Kazuhiro Yamaji","9"
" Yuhko Kaida","9"
" Clancy Brown","9"
" Salih Kalyon","9"
" Kim Coates","9"
" Cezmi Baskın","9"
"Nawazuddin Siddiqui","9"
" Keith Silverstein","9"
" Loretta Devine","9"
"Kevin Hart","9"
" Zachary Quinto","9"
" Keegan-Michael Key","9"
" Jennifer Ehle","9"
" Govind Namdeo","9"
" Kaito Ishikawa","9"
" Supriya Pathak","9"
" Luke Wilson","9"
" Guy Pearce","9"
" Koji Yusa","9"
" Steve Blum","9"
" Christopher Lee","9"
" Prakash Raj","9"
" Nicolas Aqui","9"
" Paul Giamatti","9"
" Akio Otsuka","9"
" Richard Jenkins","9"
" Cathy Weseluck","9"
" Salli Saffioti","9"
" Vidya Balan","9"
" Jimmy Shergill","9"
" Seth Green","9"
" Andy Samberg","9"
" Joe Pantoliano","9"
" Rajendranath Zutshi","9"
" Frank Langella","9"
" Kate Walsh","9"
" Shah Rukh Khan","9"
"Samuel L. Jackson","9"
" John DiMaggio","9"
" Terrence Howard","9"
"Donnie Yen","9"
" Rajkummar Rao","9"
" Haruka Tomatsu","9"
" Cherami Leigh","9"
" Manu Rishi Chadha","9"
" Reina Ueda","9"
" Cam Clarke","9"
" Helen Mirren","9"
" Danny Glover","9"
" Patricia Clarkson","9"
" Rashida Jones","9"
" Rob Rackstraw","9"
" Anthony Mackie","9"
" Craig Robinson","9"
" Eri Kitamura","9"
" Preity Zinta","9"
" David Harbour","9"
" Stephen Tobolowsky","9"
" Taylor Lautner","9"
" Will Forte","9"
" Justin Long","9"
" Manisha Koirala","9"
" Shinichiro Miki","9"
" Common","9"
" Diedrich Bader","9"
" Sonali Kulkarni","9"
" Kikuko Inoue","9"
" John Goodman","9"
" Murli Sharma","9"
" Johnny Yong Bosch","9"
" Giancarlo Esposito","9"
" Ken Jeong","9"
" Lam Suet","9"
" Eddie Marsan","9"
" Alec Baldwin","9"
" Tamannaah Bhatia","9"
"Kristen Stewart","9"
" Joross Gamboa","9"
" Alison Brie","8"
" Rob Corddry","8"
" Oprah Winfrey","8"
" Vera Farmiga","8"
" Vikram Gokhale","8"
" Kristin Scott Thomas","8"
" Pran","8"
" Vivek Oberoi","8"
" Ashley Greene","8"
" Rani Mukerji","8"
" Nasser","8"
"Robert De Niro","8"
" Ryotaro Okiayu","8"
" Samy Maghawry","8"
" James Cosmo","8"
" Michael Stuhlbarg","8"
" Crispin Glover","8"
" Bryce Papenbrook","8"
" Carrie-Anne Moss","8"
"Jeff Dunham","8"
" Ludacris","8"
" Mark Strong","8"
" Manav Kaul","8"
" Arshad Warsi","8"
" Mindy Sterling","8"
" David Kaye","8"
" Robert Forster","8"
" Liam Neeson","8"
" Michael Sheen","8"
" Alison Pill","8"
" Nick Offerman","8"
" Tracy Morgan","8"
" Ezzat Abou Aouf","8"
" Neena Gupta","8"
"Mike Smith","8"
" Arbaaz Khan","8"
" Christopher Mintz-Plasse","8"
" Sahajak Boonthanakit","8"
" Walton Goggins","8"
" Alfre Woodard","8"
" Amitabh Bachchan","8"
" George Lopez","8"
" Hiro Shimono","8"
" Danny Denzongpa","8"
" Missi Pyle","8"
" Gillian Jacobs","8"
" Gael García Bernal","8"
" Evan Smith","8"
" Salman Khan","8"
" Kunal Kapoor","8"
" Keiji Fujiwara","8"
" Kazuyuki Okitsu","8"
" Mark Hamill","8"
" Anushka Shetty","8"
" Toby Huss","8"
" Matt Hill","8"
" Rana Daggubati","8"
" Aditi Rao Hydari","8"
" Jennifer Coolidge","8"
" Andrew Bachelor","8"
" Kristen Schaal","8"
" Chloë Grace Moretz","8"
" Philip Baker Hall","8"
" J.K. Simmons","8"
" Sonam Kapoor","8"
" Kader Khan","8"
" Ireti Doyle","8"
" Riley Keough","8"
" Rio Dewanto","8"
" Kumud Mishra","8"
" Alia Shawkat","8"
" Javed Jaffrey","8"
" Koji Tsujitani","8"
" Kiernan Shipka","8"
" Vincent D'Onofrio","8"
" Maaya Uchida","8"
" Amy Sedaris","8"
" Neil Patrick Harris","8"
" Amy Adams","8"
" Urmila Matondkar","8"
" Ratna Pathak Shah","8"
" Lisa Kudrow","8"
" Bob Balaban","8"
" Jennifer Jason Leigh","8"
" Halle Berry","8"
" Wanda Sykes","8"
" Elizabeth Banks","8"
" Paul Reiser","8"
" Lillete Dubey","8"
" Kiron Kher","8"
" Yui Horie","8"
" Roger Craig Smith","8"
" Vinnie Jones","8"
" Kangana Ranaut","8"
" Heather Graham","8"
" Jackson Rathbone","8"
"Abhishek Bachchan","8"
" Beverly Naya","8"
"John Travolta","8"
" Kumiko Watanabe","8"
" Amy Poehler","8"
" Michelle Yeoh","8"
" Christopher Plummer","8"
" Dennis Quaid","8"
" David Schwimmer","8"
" Ken Marino","8"
" Tomokazu Seki","8"
" Audu Paden","8"
" Oliver Platt","8"
" Yoshitsugu Matsuoka","8"
" Tay Ping Hui","8"
" Antonio Banderas","8"
" Nicole Kidman","8"
" Sonal Kaushal","8"
" Tannishtha Chatterjee","8"
" Deepika Padukone","8"
"Pierce Brosnan","8"
" Zach Galifianakis","8"
" Satish Kaushik","8"
" Atul Kulkarni","8"
" Mamiko Noto","8"
" Teresa Gallagher","8"
" Julianne Moore","8"
" Himani Shivpuri","8"
" Carlos Alazraqui","8"
" Allison Janney","8"
" Natalie Dormer","8"
"Johnny Depp","8"
" Shizuka Ito","8"
" Martin Short","8"
" Anna Kendrick","8"
" Smita Malhotra","8"
"Prabhas","8"
" James Fox","8"
" Jide Kosoko","8"
" Femi Adebayo","8"
" Ciarán Hinds","8"
" Anton Yelchin","8"
" Emory Cohen","8"
" Romi Park","8"
" John Rhys-Davies","8"
" Lara Dutta","8"
" Mae Whitman","8"
" Stephen Root","8"
" Hiroyuki Yoshino","8"
"Saurav Chakraborty","8"
" David Oyelowo","8"
" Makrand Deshpande","8"
" Maria Bello","8"
" Selma Blair","8"
" Aishwarya Rai Bachchan","8"
" Michael Dobson","8"
" Manav Vij","8"
" Terence Stamp","8"
" Paul Bettany","8"
" Sonali Bendre","7"
" Satomi Sato","7"
" Stellan Skarsgård","7"
" Hugo Weaving","7"
" Bill Smitrovich","7"
" Alyson Leigh Rosenfeld","7"
"Denzel Washington","7"
" Bill Hader","7"
" Christopher Walken","7"
" Kemi Lala Akindoju","7"
"Leonardo DiCaprio","7"
" Mohan Joshi","7"
" Jonah Hill","7"
" Tantoo Cardinal","7"
" Cengiz Bozkurt","7"
" Dibyendu Bhattacharya","7"
" Bill Camp","7"
" Michael Kenneth Williams","7"
" Cliff Curtis","7"
" Ogie Banks","7"
" Dale Dickey","7"
" Hector David Jr.","7"
" Steve Coogan","7"
"Jackie Chan","7"
" Jason Mantzoukas","7"
" Eddie Izzard","7"
" Avtar Gill","7"
" Maxi Iglesias","7"
" Rasika Dugal","7"
" Rajesh Kawa","7"
" Ami Koshimizu","7"
"Ricky Gervais","7"
" Chris O'Dowd","7"
" Martin Sheen","7"
" Michael Ironside","7"
" Trevor Devall","7"
" Dimple Kapadia","7"
" Michael Jai White","7"
" Najee De-Tiege","7"
" Erika Fong","7"
" John Abraham","7"
" Jeffrey Tambor","7"
" Lin Shaye","7"
" Burt Young","7"
" Viola Davis","7"
"Luis Tosar","7"
" Brittany Anne Pirtle","7"
" Tituss Burgess","7"
" Ben Diskin","7"
" Saeed Jaffrey","7"
" Youssef Eid","7"
" Lili Taylor","7"
" Rory Kinnear","7"
"Stephen Fry","7"
" Jorge Diaz","7"
" Henry Thomas","7"
" Daniel Brühl","7"
" Wally Wingert","7"
" Kristen Stewart","7"
" Nana Mizuki","7"
"Graham Chapman","7"
" Ben Schwartz","7"
" Akshay Kumar","7"
" Zeenat Aman","7"
" Carmen Machi","7"
" Gurpreet Guggi","7"
" Rene Naufahu","7"
" Lochlyn Munro","7"
" Haluk Bilginer","7"
"Omoni Oboli","7"
" Retta","7"
" Adesua Etomi","7"
" Deepak Dobriyal","7"
" Kishore Kadam","7"
" Belén Cuesta","7"
" Josh Lucas","7"
" Kevin Pollak","7"
" Mahie Gill","7"
" Mary Steenburgen","7"
" Kenji Nojima","7"
" Michael Shannon","7"
" Daniel Padilla","7"
" Cam Gigandet","7"
" Smita Jaykar","7"
" Sandra Oh","7"
" Maudy Koesnaedi","7"
" Sawsan Badr","7"
"Rishi Kapoor","7"
" Fred Willard","7"
" Rhys Darby","7"
" Jason Flemyng","7"
" Rose Byrne","7"
" Tabu","7"
" Bernie Mac","7"
"Irrfan Khan","7"
" Benjamin Flores Jr.","7"
" Omari Hardwick","7"
"James Franco","7"
" Atsuko Tanaka","7"
" Elise Neal","7"
" Sterling K. Brown","7"
"Alex Heartman","7"
" Joel McHale","7"
" Shuichi Ikeda","7"
" Joju George","7"
" Randall Park","7"
" Zhang Zhenhuan","7"
"John Abraham","7"
" Giovanni Ribisi","7"
" Mithun Chakraborty","7"
" Karisma Kapoor","7"
" Noriko Hidaka","7"
" Shawn Yue","7"
" Hisako Kanemoto","7"
" America Ferrera","7"
" Diego Luna","7"
" Michael Cera","7"
" Bobby Moynihan","7"
" Dayci Brookshire","7"
" Catherine Keener","7"
" Hirotaka Suzuoki","7"
" Mike Colter","7"
"Antonio Banderas","7"
" Jonathan Pryce","7"
" Merritt Wever","7"
" Octavia Spencer","7"
" Doug Jones","7"
" Scott Porter","7"
"Demet Akbağ","7"
"Will Ferrell","7"
" Helen","7"
" Darshan Jariwala","7"
" Showtaro Morikubo","7"
" Natasha Lyonne","7"
" Alexx Ekubo","7"
" Nirmal Rishi","7"
" Paul Rudd","7"
" Demet Akbağ","7"
" James Wen","7"
" Jon Hamm","7"
"Tara Strong","7"
" Kal Penn","7"
" Whoopi Goldberg","7"
" John Turturro","7"
" Sanjay Kapoor","7"
" Bobby Deol","7"
" Harby Sangha","7"
" Akshaye Khanna","7"
"Ryan Reynolds","7"
" Billy Burke","7"
" Kellan Lutz","7"
" Bradley Whitford","7"
