"director","type","title_produced"
"Chandrakant Kulkarni","Movie","3"
"Frank Coraci","Movie","3"
"Kief Davidson","Movie","3"
"Amr Arafa","Movie","3"
"Yoshikazu Yasuhiko","Movie","3"
"Scott Zabielski","Movie","3"
"David Michôd","Movie","3"
"Ömer Faruk Sorak","Movie","3"
"Adam Shankman","Movie","3"
"Jane Campion","Movie","3"
"Jonathan Demme","Movie","3"
"Cheh Chang","Movie","3"
"Leigh Janiak","Movie","3"
"Soudade Kaadan","Movie","3"
"Alastair Fothergill","TV Show","3"
"Atom Egoyan","Movie","3"
"Pablo Larraín","Movie","3"
"Shyamal Chaulia","Movie","3"
"Barry Sonnenfeld","Movie","3"
"Ricky Gervais","Movie","3"
"G.J. Echternkamp","Movie","3"
"Charles Stone III","Movie","3"
"Sebastián Schindel","Movie","3"
"Hasan Karacadağ","Movie","3"
"Robert O. Peters","Movie","3"
"Joe Camp","Movie","3"
"Timo Tjahjanto","Movie","3"
"Joe Berlinger","Movie","3"
"Abhishek Kapoor","Movie","3"
"Ishaya Bako","Movie","3"
"Vicky Matthews","Movie","3"
"Kenneth Gyang","Movie","3"
"Onir","Movie","3"
"John Asher","Movie","3"
"Gabriele Muccino","Movie","3"
"Tate Taylor","Movie","3"
"Paul Greengrass","Movie","3"
"Rano Karno","Movie","3"
"Tom Hooper","Movie","3"
"Scott Stewart","Movie","3"
"Sofia Coppola","Movie","3"
"Gastón Duprat","Movie","3"
"Mark Waters","Movie","3"
"Greg Rankin","Movie","3"
"Toka McBaror","Movie","3"
"Aziz Mirza","Movie","3"
"Rajiv Menon","Movie","3"
"Shawn Levy","Movie","3"
"Phillip Noyce","Movie","3"
"Raj Kapoor","Movie","3"
"Leena Yadav","Movie","3"
"David R. Ellis","Movie","3"
"Munjal Shroff","Movie","3"
"Ken Ghosh","Movie","3"
"Simon Wells","Movie","3"
"Paul W.S. Anderson","Movie","3"
"Reginald Hudlin","Movie","3"
"Ismail Farouk","Movie","3"
"Renny Harlin","Movie","3"
"Lekh Tandon","Movie","3"
"John Schultz","Movie","3"
"Rajkumar Hirani","Movie","3"
"Prakash Mehra","Movie","3"
"Andrew Lau Wai-Keung","Movie","3"
"David Ayer","Movie","3"
"Karyn Kusama","Movie","3"
"Roland Emmerich","Movie","3"
"Seth Barrish","Movie","3"
"Roger Donaldson","Movie","3"
"Blair Simmons","Movie","3"
"Andibachtiar Yusuf","Movie","3"
"Tim Burton","Movie","3"
"James Wan","Movie","3"
"Vikas Bahl","Movie","3"
"Toshiyuki Kubooka","Movie","3"
"Steven C. Miller","Movie","3"
"Sumitra Bhave","Movie","3"
"Pratim D. Gupta","Movie","3"
"Remo D'Souza","Movie","3"
"Walter Hill","Movie","3"
"Maria Ripoll","Movie","3"
"Eric Darnell","Movie","3"
"Dante Lam","Movie","3"
"Kazuchika Kise","Movie","3"
"Nate Adams","Movie","3"
"Israel Adrián Caetano","Movie","3"
"Christopher Nolen","Movie","3"
"Latif Faiziyev","Movie","3"
"Nila Madhab Panda","Movie","3"
"Karthik Subbaraj","Movie","3"
"Pidi Baiq","Movie","3"
"Jerry Rothwell","Movie","3"
"Tope Oshin","Movie","3"
"Noriyuki Abe","Movie","3"
"Andrew Duncan","Movie","3"
"Adze Ugah","Movie","3"
"Jeff Baena","Movie","3"
"Vivieno Caldinelli","Movie","3"
"Abhishek Sharma","Movie","3"
"Ethan Coen","Movie","3"
"Raj Kumar Gupta","Movie","3"
"Chris Smith","Movie","3"
"Todd Phillips","Movie","3"
"Kim Nguyen","Movie","3"
"Paul Weitz","Movie","3"
"Michael Bay","Movie","3"
"John Fortenberry","Movie","3"
"Seyi Babatope","Movie","3"
"Mike Flanagan","Movie","3"
"Neeraj Pandey","Movie","3"
"Gajendra Ahire","Movie","3"
"Neal Brennan","Movie","3"
"Jon M. Chu","Movie","3"
"Bobcat Goldthwait","Movie","3"
"Sujoy Ghosh","Movie","3"
"Simon Wincer","Movie","3"
"Alex Díaz","Movie","3"
"Peyton Reed","Movie","3"
"Richard Weston","Movie","3"
"Ahmed Al-Badry","Movie","3"
"Bedran Güzel","Movie","3"
"Mohamed Samy","Movie","3"
"Ron Oliver","Movie","3"
"Vikramaditya Motwane","Movie","3"
"Yasmin Ahmad","Movie","3"
"Ashwin Saravanan","Movie","3"
"Marc Forster","Movie","3"
"Walter C. Miller","Movie","3"
"Mahesh Bhatt","Movie","3"
"Chris Buck","Movie","3"
"Alfonso Cuarón","Movie","3"
"Rako Prijanto","Movie","3"
"Mark A.Z. Dippé","Movie","3"
"Sunil Sukthankar","Movie","3"
"Chapman Way","Movie","3"
"B. V. Nandini Reddy","Movie","3"
"Drake Doremus","Movie","3"
"Andrzej Bartkowiak","Movie","3"
"Mark Raso","Movie","3"
"Anirban Majumder","Movie","3"
"Burak Aksak","Movie","3"
"Peter Spirer","Movie","3"
"Michèle Ohayon","Movie","3"
"Joel Coen","Movie","3"
"Brett Haley","Movie","3"
"Bobby Farrelly","Movie","3"
"Hardik Mehta","Movie","3"
"Ribhu Dasgupta","Movie","3"
"Jon Rosenbaum","Movie","3"
"Wolfgang Petersen","Movie","3"
"Garry Marshall","Movie","3"
"Mikhail Red","Movie","3"
"Guillermo del Toro","Movie","3"
"Gilles Paquet-Brenner","Movie","3"
"Greg MacGillivray","Movie","3"
"Robert Zemeckis","Movie","3"
"Roger Allers","Movie","3"
"Akiva Schaffer","Movie","3"
"Amitoj Mann","Movie","3"
"Ivan Reitman","Movie","3"
"Orlando von Einsiedel","Movie","3"
"Mahmoud Karim","Movie","3"
"Barry Levinson","Movie","3"
"Mohamed Hamdy","Movie","3"
"Olivier Assayas","Movie","3"
"Marcos Bucay","Movie","3"
"Chris Howe","Movie","3"
"Pankaj Batra","Movie","3"
"Brad Anderson","Movie","3"
"Michael Dowse","Movie","3"
"TJ Sullivan","Movie","3"
"Chris Weitz","Movie","3"
"Florent Bodin","Movie","3"
"Ric Roman Waugh","Movie","3"
"Sermiyan Midyat","Movie","3"
"Adrian Teh","Movie","3"
"Note Chern-Yim","Movie","3"
"Craig Brewer","Movie","3"
"David Mackenzie","Movie","3"
"Barak Goodman","Movie","3"
"Peter Jackson","Movie","3"
"Maclain Way","Movie","3"
"Diego Pignataro","Movie","3"
"Sylvester Stallone","Movie","3"
"Cem Yılmaz","Movie","3"
"Linda Mendoza","Movie","3"
"Steve Sacks","Movie","3"
"Morgan Neville","Movie","3"
"Alex Lehmann","Movie","3"
"Louis C.K.","Movie","3"
"Jeff Nichols","Movie","3"
"Theodore Boborol","Movie","3"
"John Lee Hancock","Movie","3"
"Asit Mohapatra","Movie","3"
"Satish Rajwade","Movie","3"
"Frank Oz","Movie","3"
"Alexis Morante","Movie","3"
"Hiroyuki Seshita","Movie","3"
"Les Mayfield","Movie","3"
"Ketan Mehta","Movie","3"
"Abhinay Deo","Movie","3"
"Gonzalo López-Gallego","Movie","3"
"Ezekiel Norton","Movie","3"
"Ron Myrick","Movie","3"
"Adam Carolla","Movie","3"
"Ken Burns","TV Show","3"
"Olivia M. Lamasan","Movie","3"
"Gerardo Olivares","Movie","3"
"Petra Costa","Movie","3"
"Rob Cohen","Movie","3"
"Momoko Kamiya","Movie","3"
"Sachin Yardi","Movie","3"
"Matías Gueilburt","Movie","3"
"Adam McKay","Movie","3"
"Adriano Rudiman","Movie","3"
