"casts","titles_they_acted","ranking"
"raghuvir yadav","12","190"
"john michael higgins","12","190"
"robert pattinson","12","190"
"paul giamatti","12","190"
"robert patrick","12","190"
"chris parnell","12","190"
"halle berry","12","190"
"cate blanchett","12","190"
"loretta devine","12","190"
"andy samberg","12","190"
"john leguizamo","12","190"
"houko kuwashima","12","190"
"michael jai white","11","258"
"johny lever","11","258"
"viola davis","11","258"
"lucy liu","11","258"
"alison brie","11","258"
"jessica chastain","11","258"
"nicole oliver","11","258"
"harvey keitel","11","258"
"tony todd","11","258"
"danny glover","11","258"
"dalip tahil","11","258"
"stephen lang","11","258"
"steve zahn","11","258"
"jigna bharadhwaj","11","258"
"manisha koirala","11","258"
"keith wickham","11","258"
"konkona sen sharma","11","258"
"christopher lee","11","258"
"julia roberts","11","258"
"matt damon","11","258"
"carla gugino","11","258"
"sean bean","11","258"
"ben stiller","11","258"
"paul rudd","11","258"
"jane krakowski","11","258"
"kaito ishikawa","11","258"
"alec baldwin","11","258"
"mark hamill","11","258"
"rani mukerji","11","258"
"don cheadle","11","258"
"keegan-michael key","11","258"
"kathy bates","11","258"
"amber heard","11","258"
"meryl streep","11","258"
"jay baruchel","11","258"
"frank grillo","11","258"
"will forte","11","258"
"tay ping hui","11","258"
"nicole anthony","11","258"
"satish shah","11","258"
"cedric the entertainer","11","258"
"michael shannon","11","258"
"arjun rampal","11","258"
"koichi yamadera","11","258"
"toshiyuki morikawa","11","258"
"gary cole","11","258"
"rob schneider","11","258"
"daisuke namikawa","11","258"
"kevin james","11","258"
"julianne moore","11","258"
"abhay deol","11","258"
"megumi han","11","258"
"tracy morgan","11","258"
"denzel washington","11","258"
"sam shepard","11","258"
"terry crews","11","258"
"anthony anderson","11","258"
"aoi yuki","11","258"
"b.n. sharma","11","258"
"emile hirsch","11","258"
"tusshar kapoor","11","258"
"james cromwell","11","258"
"bobby cannavale","11","258"
"mario casas","11","258"
"mike smith","11","258"
"alok nath","11","258"
"sylvester stallone","11","258"
"peter facinelli","11","258"
"keanu reeves","11","258"
"patrick warburton","11","258"
"steve coogan","11","258"
"kathryn bernardo","11","258"
"sunil shetty","11","258"
"elizabeth banks","11","258"
"ryohei kimura","11","258"
"sathyaraj","11","258"
"anthony mackie","11","258"
"kenta miyake","11","258"
"michael madsen","11","258"
"gary oldman","11","258"
"divya dutta","11","258"
"shannon chan-kent","10","339"
"hrithik roshan","10","339"
"idris elba","10","339"
"reza rahadian","10","339"
"ali nuhu","10","339"
"manav kaul","10","339"
"janeane garofalo","10","339"
"arshad warsi","10","339"
"jason isaacs","10","339"
"james remar","10","339"
"ewan mcgregor","10","339"
"lena headey","10","339"
"luke wilson","10","339"
"t.j. miller","10","339"
"mohammed tharwat","10","339"
"kevin corrigan","10","339"
"vivek oberoi","10","339"
"shraddha kapoor","10","339"
"kim coates","10","339"
"helena bonham carter","10","339"
"reina ueda","10","339"
"joke silva","10","339"
"beverly naya","10","339"
"johnny lever","10","339"
"will arnett","10","339"
"david harbour","10","339"
"tim blake nelson","10","339"
"nobunaga shimazaki","10","339"
"bayoumi fouad","10","339"
"neil patrick harris","10","339"
"cameron diaz","10","339"
"kappei yamaguchi","10","339"
"amrita rao","10","339"
"brijendra kala","10","339"
"zach galifianakis","10","339"
"jon lovitz","10","339"
"paul schrier","10","339"
"chris o'dowd","10","339"
"grey delisle","10","339"
"segun arinze","10","339"
"luis tosar","10","339"
"prem chopra","10","339"
"karamjit anmol","10","339"
"jeff bennett","10","339"
"sardar sohi","10","339"
"louis koo","10","339"
"romi park","10","339"
"bruce dern","10","339"
"raj babbar","10","339"
"neha dhupia","10","339"
