"title","type","duration"
"Black Mirror: Bandersnatch","Movie",312
"Headspace: Unwind Your Mind","Movie",273
"The School of Mischief","Movie",253
"No Longer kids","Movie",237
"Lock Your Girls In","Movie",233
"Raya and Sakina","Movie",230
"Once Upon a Time in America","Movie",229
"Sangam","Movie",228
"Lagaan","Movie",224
"Jodhaa Akbar","Movie",214
